"","date","Trump","Cruz","Kasich","Bush","Carson","Christie","Fiorina","Graham","Huckabee","Jindal","Pataki","Paul","Perry","Rubio","Santorum","Walker"
"1",2016-05-08,56.3974433400744,23.4070401051612,13.827034922064,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2016-05-04,54.1628288482914,24.380542536574,14.6490584610945,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2016-05-02,53.0851163458856,24.8460481052293,15.051272791145,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",2016-05-01,52.5548098061888,25.0736299374547,15.2496296354969,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",2016-04-29,51.5071675768583,25.5202391183313,15.6401851855428,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",2016-04-28,50.9878718774576,25.7409859896725,15.8323079824032,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",2016-04-27,50.470744345905,25.9610922174652,16.022416339807,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",2016-04-26,49.9558911059735,26.1808888724605,16.2105996558734,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",2016-04-24,48.9374520168227,26.6178378149024,16.5802228558394,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2016-04-22,47.9562202552878,27.0385299949224,16.9343814651771,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",2016-04-20,47.0762697111879,27.408009601776,17.2583802526387,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",2016-04-19,46.7685049380913,27.5284612507281,17.3511774868752,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",2016-04-17,46.0559134251254,27.8104545300655,17.6305968389976,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",2016-04-14,45.1798798064382,28.1339333313979,17.9090151753208,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",2016-04-13,44.9176787578308,28.3150071288422,17.9879600672045,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",2016-04-12,44.6293218462686,28.4267284737203,18.0891042892589,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",2016-04-11,44.3374059209458,28.5758944589288,18.2016010051842,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",2016-04-10,44.1976294613604,28.7467169818614,18.2649107197946,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",2016-04-06,43.7319576681035,29.3000751912735,18.5008937450571,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",2016-04-03,43.5002014063816,29.6110484029169,18.5550354458024,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",2016-04-02,43.2732968973804,29.7599931527342,18.6099959319561,0,0,0,0,0,0,0,0,0,0,0,0,0
